id_parroquia,nombre_parroquia,id_canton
PR-1,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",1Can
PR-2,EL SAGRARIO,1Can
PR-3,TONSUPA,2Can
PR-4,COLONCHE,3Can
PR-5,HUAYNACÁPAC,1Can
PR-6,CUMBAYÁ,4Can
PR-7,"GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL",5Can
PR-8,"GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL",6Can
PR-9,GIL RAMÍREZ DÁVALOS,1Can
PR-10,SUCRE,1-Ct
PR-11,"TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",7-Ct
PR-12,SEVILLA DON BOSCO,8-Ct
PR-13,QUITO,4-Ct
PR-14,"SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL",9-Ct
PR-15,SAN BLAS,1-Ct
PR-16,"GUALACEO, CABECERA CANTONAL",10-Ct
PR-17,"PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL",11-Ct
PR-18,"SANGOLQUÍ, CABECERA CANTONAL",12-Ct
PR-19,ALANGASÍ,4-Ct
PR-20,JESUS MARIA,13-Ct
PR-21,MONAY,1-Ct
PR-22,EL BATÁN,1-Ct
PR-23,"LA JOYA DE LOS SACHAS, CABECERA CANTONAL",14-Ct
PR-24,BUENAVISTA,189-Ct
PR-25,"GIRÓN, CABECERA CANTONAL",16-Ct
PR-26,"MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL",8-Ct
PR-27,SINAI,8-Ct
PR-28,MILTON REYES,17-Ct
PR-29,LA DOLOROSA DEL PRIORATO,18-Ct
PR-30,SAN SEBASTIÁN,1-Ct
PR-31,SAN FRANCISCO DE CHINIMBIMI,19-Ct
PR-32,"CHORDELEG, CABECERA CANTONAL",20-Ct
PR-33,"SUCÚA, CABECERA CANTONAL",21-Ct
PR-34,FATIMA,11-Ct
