id_campamento;n_campamento;id_provincia
CAMP-1;Laguna Luspa;PCI-1
CAMP-2;Zorrocucho Recorrido Circular;PCI-1
CAMP-3;Tres Cruces;PCI-1
CAMP-4;Mamamag;PCI-1
CAMP-5;Camino del Inca;PCI-1
CAMP-6;Cerro Jutcoluma;PCI-1
CAMP-7;Cucheros;PCI-1
CAMP-8;Rio Culebrillas;PCI-1
CAMP-9;Santuario Ibiscus;PCI-1
CAMP-10;Osohuayca;PCI-1
CAMP-11;Wayra;PCI-2
CAMP-12;Glamping;PCI-2
CAMP-13;Puerto Balao;PCI-2
CAMP-14;Campamento Bautista Manglaralto;PCI-3
CAMP-15;Camping Beach;PCI-3
CAMP-16;Guacamayo hospedaje;PCI-3
CAMP-17;La Carreta Ayangue;PCI-3
CAMP-18;Campamento Cautivo;PCI-3
CAMP-19;Campamento Bautista;PCI-3
CAMP-20;Reserva Geobotánica Pululahua;PCI-4
CAMP-21;Área Nacional de Recreación El Boliche;PCI-4
CAMP-22;Parque Arqueológico Cochasquí;PCI-4
CAMP-23;Laguna del Quilotoa;PCI-4
CAMP-24;Volcán El Altar;PCI-4
CAMP-25;Refugio de Vida Silvestre Pasochoa;PCI-4
CAMP-26;Campamento Antonio Flores;PCI-5
CAMP-27;Campamento De Boxeo Polideportivo;PCI-5
CAMP-28;Campamento Dolores Cacuango;PCI-5
CAMP-29;Campamento La Toma;PCI-5
CAMP-30;Salitre Recinto Candilejas;PCI-5
CAMP-31;Cascada El Kilo ;PCI-6
CAMP-32;Muyu Birding Lodge;PCI-6
CAMP-33;Centro Turístico  Descanso de la Pantera Negra  ;PCI-6
CAMP-34;Campamento Mangayacu;PCI-6
CAMP-35;Rancho Miguelito;PCI-6
CAMP-36;La Penal Camping & amazonía;PCI-6
CAMP-37;Shipati Lodge;PCI-7
CAMP-38;"Balneario Ecologico "" El Chuncho """;PCI-7
CAMP-39;Paqcha Yacu Camping;PCI-7
CAMP-40;Hollín Adventures;PCI-7
CAMP-41;Jungle Roots;PCI-7
CAMP-42;Cassacha Glamping;PCI-8
CAMP-43;Centro Turistico Ayllu Awarina;PCI-8
CAMP-44;Paseo De Los Monos;PCI-8
CAMP-45;"Campamento base ""Sertecpet";PCI-9
CAMP-46;Campamento Sacha;PCI-9
CAMP-47;Campamento Sacha;PCI-9
CAMP-48;Campamento Base Bgp;PCI-9
CAMP-49;Campamento Payamino;PCI-9
CAMP-50; Cabañas de San Juan;PCI-10
CAMP-51;Camping La Montaña;PCI-10
CAMP-52;Rio blanco;PCI-10
CAMP-53;Camping en el Parque Nacional Podocarpus;PCI-11
CAMP-54;Parque Colinar Carigán Villonaco;PCI-11
CAMP-55;Campamento Multinacional de Turismo;PCI-11
CAMP-56;Parque Extremo Loja;PCI-11
CAMP-57;Camino a guacapamba mirador a LOJA-LOJA;PCI-11
CAMP-58;La Canoa Camping;PCI-12
CAMP-59;Camping Iguana;PCI-12
CAMP-60;Camping Reserva Natural Punta Gorda;PCI-12
CAMP-61;SantPied;PCI-13
CAMP-62;CAMPING Y PESCA GOMAR;PCI-13
CAMP-63;Copalinga Lodge;PCI-13
CAMP-64;FINCA ROSITA;PCI-13
CAMP-65;Cascadas La Hueca;PCI-13
CAMP-66;Cantzama Camping;PCI-13
CAMP-67;Parque Nacional Galápagos;PCI-14
CAMP-68;Playa El Manglecito;PCI-14
CAMP-69;Galapagos Safari Camp;PCI-14
CAMP-70;Puerto Grande;PCI-14
CAMP-71;Galapagos Magic Camp;PCI-14
CAMP-72;"Cabañas ""Balcón del Río""";PCI-15
CAMP-73;Laguna de Chorocopte;PCI-15
CAMP-74;Camino Cruz Plateado;PCI-15
CAMP-75;Camping Río Blanco;PCI-16
CAMP-76;Camping Río Blanco;PCI-16
CAMP-77; CASCADA EL BLANCO;PCI-16
CAMP-78;Montano Camping & Hostel;PCI-17
CAMP-79;Camping Baños de Agua Santa;PCI-17
CAMP-80;Lo de Fausto Eco Campamento Spa;PCI-17
CAMP-81; Campamento Guarumo;PCI-18
CAMP-82;Campamento Base AndesPetro;PCI-18
CAMP-83; Tarapoa Aguas Negras;PCI-18
CAMP-84;CASA POSADA;PCI-19
CAMP-85;Complejo Ecoturístico;PCI-19
CAMP-86;Café Sommerwind;PCI-19
CAMP-87;RANCHO ESPUELAS DE PLATA;PCI-20
CAMP-88;Zona de Parapente Torreloma;PCI-20
CAMP-89;Cabaña La Roca;PCI-20
CAMP-90;Bucay Suncamal;PCI-20
CAMP-91;Campamento Apostolico Del Nombre De Jesus;PCI-21
CAMP-92;Finca San Andres;PCI-21
CAMP-93;Casa de los Paredes Santo Domingo;PCI-21
CAMP-94;Camping Baños De Agua Santa;PCI-22
CAMP-95;Centro Ecoturistico Alpinar;PCI-22
CAMP-96;Montano Camping;PCI-22
CAMP-97;Nacional Cotopaxi;PCI-23
CAMP-98;CAMPING & GLAMPING YUNTAPUNGO;PCI-23
CAMP-99;Campamento Harbin;PCI-23
CAMP-100;COTOPAXI WORLD;PCI-23
CAMP-101;Green House Araque ;PCI-24
CAMP-102;Camping Finca Sommerwind;PCI-24
CAMP-103;Finca Orgánica San Antonio;PCI-24
CAMP-104;Sara Lodge;PCI-24
CAMP-105;Pumamaki;PCI-24
