id_provincia;nombre_provincia;lugares_m_visitados
PCI-1;AZUAY;NABÓN
PCI-2;ESMERALDAS;
PCI-3;SANTA ELENA;MIRADOR DE OLÓN, PLAYA ROSADA
PCI-4;PICHINCHA;
PCI-5;GUAYAS;ISLA SANTAY, EL CHORRO DE GIRÓN, CALLE SANTA ANA DE CUENCA, BOSQUE CERRO BLANCO
PCI-6;MORONA SANTIAGO;
PCI-7;NAPO;CASCADAS YANAYACU
PCI-8;PASTAZA;
PCI-9;ORELLANA;
PCI-10;EL ORO;
PCI-11;LOJA;
PCI-12;MANABÍ ;
PCI-13;ZAMORA CHINCHIPE;
PCI-14;GALÁPAGOS;LAGUNA EL JUNCO
PCI-15;CAÑAR;
PCI-16;LOS RÍOS;
PCI-17;TUNGURAHUA;CASCADA DEL SILENCIO
PCI-18;SUCUMBÍOS;
PCI-19;CARCHI;
PCI-20;BOLÍVAR;
PCI-21;SANTO DOMINGO DE LOS TSÁCHILAS;
PCI-22;CHIMBORAZO;
PCI-23;COTOPAXI;
PCI-24;IMBABURA;
