id_Categoria;categoria
CRI-1;SEGUNDA
CRI-2;TERCERA
CRI-3;3 Estrellas
CRI-4;2 Estrellas
CRI-5;Categoría única
CRI-6;PRIMERA
CRI-7;CUARTA
CRI-8;1 Estrellas
CRI-9;(1) Un tenedor
CRI-10;(1) Una copa
CRI-11;SEGUNDA / 3 TENEDORES
CRI-12;LUJO / 2 TAZAS
CRI-13;PRIMERA / 1 TAZA
CRI-14;(1) Una tazas
CRI-15;4 Estrellas
CRI-16;PRIMERA / 3 COPAS
CRI-17;(2) Dos tazas
CRI-18;(2) Dos tenedores
CRI-19;(1) Una taza
CRI-20;TERCERA / 2 TENEDORES
CRI-21;CUARTA / 1 TENEDOR
CRI-22;(3) Tres tenedores
CRI-23;(3) Tres copas
CRI-24;LUJO
CRI-25;(2) Dos copas
CRI-26;(4) Cuatro tenedores
CRI-27;AGENCIA DE VIAJES INTERNACIONAL
CRI-28;5 Estrellas
CRI-29;AGENCIA DE VIAJES DUAL
CRI-30;SERVICIO TRANSP.TERRES.TURIS.
CRI-31;OPERADOR TURÍSTICO
CRI-32;RENT A CAR
CRI-33;(5) Cinco tenedores
CRI-34;AGENCIA DE VIAJES MAYORISTA
CRI-35;PRIMERA / 4 TENEDORES
CRI-36;TERCERA / 1 COPA
CRI-37;LUJO / 5 TENEDORES
CRI-38;LAN_TOUR_DIARIO
CRI-39;LANC_PASAJE
CRI-40;SEGUNDA / 2 COPAS
CRI-41;YATES_PASAJ
CRI-42;MOTONAVES
CRI-43;SERVICIO NACIONAL AEREO
CRI-44;INTER_OPER
CRI-45;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE REPRESENTACIÓN O INFORMACIÓN
CRI-46;MOTO_Velero
CRI-47;SERVICIO AVIONETAS HELICOPTEROS
CRI-48;FLUVIAL
CRI-49;TERCERA 
CRI-50;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE VENTA
CRI-51;FUNICULARES O TELEFÉRICOS POR CABINAS
