id_local;nombre_local;costo_hotel;id_tipo_E;id_contacto;id_ubicacion;id_categoria;id_parroquia
Loc -1;FAMA LA;;1-Cn;Ctc-1;rfd-1;CRI-1;PR-1
Loc -2;COLONIAS LAS No.3;;2-Cn;Ctc-2;rfd-2;CRI-2;PR-1
Loc -3;QUINTA ELOISA;;3-Cn;Ctc-3;rfd-3;CRI-1;PR-1
Loc -4;PINGUINO;;1-Cn;Ctc-4;rfd-4;CRI-2;PR-1
Loc -5;VILLA VERDE RECEPCIONES Y EVENTOS;;3-Cn;Ctc-5;rfd-5;CRI-1;PR-1
Loc -6;HOTEL CORDERO;$65;4-Cn;Ctc-6;rfd-6;CRI-3;PR-2
Loc -7;HOTEL PUERTO BALLESTA;$80;4-Cn;Ctc-7;rfd-7;CRI-4;PR-3
Loc -8;CONEJOS;;2-Cn;Ctc-8;rfd-8;CRI-2;PR-1
Loc -9;EL CARMELO AVENTURA AGROTURISTICA;;5-Cn;Ctc-9;rfd-9;CRI-3;PR-4
Loc -10;DEPARTAMENTO TOPACIO;;6-Cn;Ctc-10;rfd-10;CRI-5;PR-5
Loc -11;SUMAQ KAY;$72;4-Cn;Ctc-11;rfd-11;CRI-3;PR-6
Loc -12;CAPPUCHINO;;1-Cn;Ctc-12;rfd-12;CRI-6;PR-1
Loc -13;CAFE TERTULIAS;;7-Cn;Ctc-13;rfd-13;CRI-7;PR-1
Loc -14;GOLDEN BAMBOO FUSION ORIENTAL;;2-Cn;Ctc-14;rfd-14;CRI-1;PR-7
Loc -15;STREET DOG'S;;1-Cn;Ctc-15;rfd-15;CRI-2;PR-1
Loc -16;PEÑA NUESTRA AMERICA;;3-Cn;Ctc-16;rfd-16;CRI-1;PR-1
Loc -17;DIANITA;;8-Cn;Ctc-17;rfd-17;CRI-8;PR-8
Loc -18;PICHINCHA INTERNACIONAL;;8-Cn;Ctc-18;rfd-18;CRI-8;PR-9
Loc -19;LEO'S HOT DOG;;1-Cn;Ctc-19;rfd-19;CRI-2;PR-1
Loc -20;INCA REAL;$65;4-Cn;Ctc-20;rfd-20;CRI-3;PR-2
Loc -21;FOS;;2-Cn;Ctc-21;rfd-21;CRI-9;PR-10
Loc -22;MARIA NATIVIDAD EVENTOS;;3-Cn;Ctc-22;rfd-22;CRI-1;PR-1
Loc -23;EL AMANECER;;9-Cn;Ctc-23;rfd-23;CRI-10;PR-11
Loc -24;CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY;;10-Cn;Ctc-24;rfd-24;CRI-1;PR-12
Loc -25;DON FRANCISCO EL SABOR ORIGINAL;;2-Cn;Ctc-25;rfd-25;CRI-11;PR-13
Loc -26;DOÑA MENESTRA N 2;;2-Cn;Ctc-26;rfd-26;CRI-6;PR-1
Loc -27;SABOR LATINO;;2-Cn;Ctc-27;rfd-27;CRI-2;PR-1
Loc -28;GUABOPAMBA;;5-Cn;Ctc-28;rfd-28;CRI-2;PR-14
Loc -29;QUISQUEYA;;2-Cn;Ctc-29;rfd-29;CRI-2;PR-1
Loc -30;EUROPA;$56;4-Cn;Ctc-30;rfd-30;CRI-4;PR-15
Loc -31;GRAN MOLINA;$58;4-Cn;Ctc-31;rfd-31;CRI-4;PR-16
Loc -32;CALAMAR;;2-Cn;Ctc-32;rfd-32;CRI-2;PR-1
Loc -33;MI CLASSIC DISCOTEC;;11-Cn;Ctc-33;rfd-33;CRI-1;PR-16
Loc -34;AZUAY;;2-Cn;Ctc-34;rfd-34;CRI-2;PR-14
Loc -35;CASA GRANDE ;;12-Cn;Ctc-35;rfd-35;CRI-1;PR-1
Loc -36;TRUQUITO DEL SABOR EL;;7-Cn;Ctc-36;rfd-36;CRI-7;PR-1
Loc -37;GOLOSINAS DE BETTY;;1-Cn;Ctc-37;rfd-37;CRI-2;PR-7
Loc -38; FRESAW;;8-Cn;Ctc-38;rfd-38;CRI-8;PR-17
Loc -39;CAFÉ PUMAPUNGO;;2-Cn;Ctc-39;rfd-39;CRI-7;PR-1
Loc -40;LUMINARIAS TURI;;2-Cn;Ctc-40;rfd-40;CRI-1;PR-1
Loc -41;ROSA VICTORIA;;3-Cn;Ctc-41;rfd-41;CRI-1;PR-16
Loc -42;HELADERIA LOS ALPES;;1-Cn;Ctc-42;rfd-42;CRI-6;PR-18
Loc -43;ALPES LOS;;1-Cn;Ctc-43;rfd-43;CRI-1;PR-19
Loc -44;HELADERÍA LOS ALPES;;7-Cn;Ctc-44;rfd-44;CRI-12;PR-19
Loc -45;HELADERÍA LOS ALPES;;7-Cn;Ctc-45;rfd-45;CRI-13;PR-13
Loc -46;COMPLEJO TURISTICO EL REY DE AGUAS TERMALES;;13-Cn;Ctc-46;rfd-46;CRI-1;PR-20
Loc -47;PIEDRA DE AGUA;;10-Cn;Ctc-47;rfd-47;CRI-6;PR-1
Loc -48;HOSTAL CORONEL;;8-Cn;Ctc-48;rfd-48;CRI-3;PR-2
Loc -49;HACIENDA SUIZA YOGURT Y PAN DE YUCA N 2;;7-Cn;Ctc-49;rfd-49;CRI-14;PR-21
Loc -50;HACIENDA SUIZA YOGURT Y PAN DE YUCA N 3;;7-Cn;Ctc-50;rfd-50;CRI-14;PR-22
Loc -51;BAMBU;$61;4-Cn;Ctc-51;rfd-51;CRI-2;PR-23
Loc -52;SELENA ANGELINA;;2-Cn;Ctc-52;rfd-52;CRI-7;PR-24
Loc -53;JUGOS FIGUEROA HEREDIA;;1-Cn;Ctc-53;rfd-53;CRI-2;PR-13
Loc -54;JUGUERÍA FIGUEROA HEREDIA;;2-Cn;Ctc-54;rfd-54;CRI-11;PR-13
Loc -55;LA CASA DE LA GOLOSINA;;7-Cn;Ctc-55;rfd-55;CRI-14;PR-5
Loc -56;RINCON DEL RIO;;8-Cn;Ctc-56;rfd-56;CRI-4;PR-25
Loc -57;MORZUA;;8-Cn;Ctc-57;rfd-57;CRI-4;PR-26
Loc -58;INES MARIA;;8-Cn;Ctc-58;rfd-58;CRI-3;PR-9
Loc -59;SNOBIZ NO 2;;1-Cn;Ctc-59;rfd-59;CRI-6;PR-1
Loc -60;PARADERO D TILAPIA;;2-Cn;Ctc-60;rfd-60;CRI-7;PR-27
Loc -61;PLAZA CENTRAL;$34;4-Cn;Ctc-61;rfd-61;CRI-4;PR-28
Loc -62;HOTEL EL CONQUISTADOR;$60;4-Cn;Ctc-62;rfd-62;CRI-3;PR-29
Loc -63;CUADRA DE ROSITA LA ;;2-Cn;Ctc-63;rfd-63;CRI-1;PR-1
Loc -64;MOLINO HOSTEL;;8-Cn;Ctc-64;rfd-64;CRI-8;PR-30
Loc -65;SOLANO;;8-Cn;Ctc-65;rfd-65;CRI-1;PR-7
Loc -66;AGUA Y BAMBOO;;5-Cn;Ctc-66;rfd-66;CRI-3;PR-31
Loc -67;LA COLMENA Y QUE;;7-Cn;Ctc-67;rfd-67;CRI-14;PR-32
Loc -68;PACHACAMAC;;8-Cn;Ctc-68;rfd-68;CRI-8;PR-16
Loc -69;COMPLEJO TURISTICO EL PEÑON DE CUSAY;;5-Cn;Ctc-69;rfd-69;CRI-3;PR-16
Loc -70;SERES;;2-Cn;Ctc-70;rfd-70;CRI-1;PR-1
Loc -71;LA POSADA DEL QUIJOTE;;5-Cn;Ctc-71;rfd-71;CRI-3;PR-25
Loc -72;JR. CAMARÓN;;2-Cn;Ctc-72;rfd-72;CRI-11;PR-13
Loc -73;BALCON QUITEÑO NO.1;;2-Cn;Ctc-73;rfd-73;CRI-1;PR-1
Loc -74;HOSTERIA LUZCELINDA;;5-Cn;Ctc-74;rfd-74;CRI-3;PR-33
Loc -75;TOKIO;;8-Cn;Ctc-75;rfd-75;CRI-8;PR-13
Loc -76;TANQUEATE;;1-Cn;Ctc-76;rfd-76;CRI-2;PR-1
Loc -77;PANTANAL EL ;;10-Cn;Ctc-77;rfd-77;CRI-1;PR-34
Loc -78;CREMOLATO;;1-Cn;Ctc-78;rfd-78;CRI-1;PR-1
Loc -79;FONTANA HELADERIA No 6;;1-Cn;Ctc-79;rfd-79;CRI-6;PR-18
Loc -80;FONTANA HELADERIA NO 2;;1-Cn;Ctc-80;rfd-80;CRI-2;PR-18
Loc -81;FONTANA HELADERIA (QUITUMBE);;1-Cn;Ctc-81;rfd-81;CRI-6;PR-13
Loc -82;FONTANA HELADERIA NO 5;;1-Cn;Ctc-82;rfd-82;CRI-6;PR-13
Loc -83;Y RESTAURANTE ''MANABI'';;8-Cn;Ctc-83;rfd-83;CRI-8;PR-35
Loc -84;MOLINOS DEL BATAN LOS;;2-Cn;Ctc-84;rfd-84;CRI-6;PR-1
Loc -85;HOSTERIA ESTANCIA EL ANGEL;;5-Cn;Ctc-85;rfd-85;CRI-3;PR-16
Loc -86;RIONE;$54;4-Cn;Ctc-86;rfd-86;CRI-15;PR-5
Loc -87;BRASA EL RINCON DEL BUEN SABOR LA;;1-Cn;Ctc-87;rfd-87;CRI-2;PR-16
Loc -88;RANCHO GRANDE;;3-Cn;Ctc-88;rfd-88;CRI-1;PR-1
Loc -89;QUINTA MERCEDES;;3-Cn;Ctc-89;rfd-89;CRI-1;PR-1
Loc -90;ESTANCIO BLANCA;;2-Cn;Ctc-90;rfd-90;CRI-1;PR-1
Loc -91;LAS CABAÑAS;;2-Cn;Ctc-91;rfd-91;CRI-9;PR-36
Loc -92;PACHAMAMA LODGE;;8-Cn;Ctc-92;rfd-92;CRI-8;PR-15
Loc -93;HOSTAL VILLA DEL ROSARIO;;8-Cn;Ctc-93;rfd-93;CRI-4;PR-2
Loc -94;DON GUEVARA;;2-Cn;Ctc-94;rfd-94;CRI-2;PR-1
Loc -95;CISNE EL ;;3-Cn;Ctc-95;rfd-95;CRI-1;PR-1
