Id_Canton;nombre_canton;Poblacion
1-Ct;CUENCA;603269
2-Ct;ATACAMES;200.000
3-Ct;SANTA ELENA;401.178
4-Ct;QUITO;2000011
5-Ct;GUAYAQUIL;2698000
6-Ct;LIMÓN INDANZA;10000
7-Ct;TENA;60880
8-Ct;MORONA;41155
9-Ct;SANTA ISABEL;18393
10-Ct;GUALACEO;38587
11-Ct;PASTAZA;83.933
12-Ct;RUMIÑAHUI;109807
13-Ct;NARANJAL;53800
14-Ct;LA JOYA DE LOS SACHAS;40512
15-Ct;PASAJE;90806
16-Ct;GIRÓN;12607
17-Ct;HUAQUILLAS;47706
18-Ct;IBARRA;182457
19-Ct;SANTIAGO;5614000
20-Ct;CHORDELEG;12577
21-Ct;SUCÚA;18318
22-Ct;EL CHACO;3000
23-Ct;SEVILLA DE ORO;5889
24-Ct;LOGROÑO;151113
25-Ct;SALINAS;94590
26-Ct;LOJA;170280
27-Ct;GUALAQUIZA;7945
28-Ct;MANTA;217553
29-Ct;ZAMORA;13387
30-Ct;AZOGUES;40000
31-Ct;ORELLANA;704755
32-Ct;PALORA;2802
33-Ct;SANTA CRUZ;15000
34-Ct;OÑA;1008
35-Ct;PAUTE;25494
36-Ct;PUERTO QUITO;20445
37-Ct;SIGSIG;26910
38-Ct;LA TRONCAL;54389
39-Ct;MACHALA;261422
40-Ct;VINCES;83662
41-Ct;BIBLIÁN;20817
42-Ct;AMBATO;165185
43-Ct;PUERTO LÓPEZ;20451
44-Ct;SHUSHUFINDI;44328
45-Ct;MONTÚFAR;30511
46-Ct;SAN JUAN BOSCO;3908
47-Ct;GUARANDA;30000
48-Ct;EL TRIUNFO;59636
49-Ct;ISABELA;2256
50-Ct;SAMBORONDÓN;11030
51-Ct;SAN FERNANDO;94867
52-Ct;PEDERNALES;75510
53-Ct;SANTO DOMINGO;450000
54-Ct;RIOBAMBA;124807
55-Ct;CAYAMBE;39028
56-Ct;CAÑAR;281396
57-Ct;GUACHAPALA;3409
58-Ct;SANTIAGO DE PÍLLARO;38357
59-Ct;PUCARÁ;12000
60-Ct;MEJÍA;81335
61-Ct;NABÓN;15121
62-Ct;PAJÁN;6060
63-Ct;EL PAN;3036
64-Ct;CHINCHIPE;91.376
65-Ct;PEDRO VICENTE MALDONADO;5561
66-Ct;MUISNE;5925
67-Ct;TIWINTZA;6995
68-Ct;CAMILO PONCE ENRÍQUEZ;17404
69-Ct;ZARUMA;22222
70-Ct;LATACUNGA;170489
71-Ct;QUEVEDO;173575
72-Ct;JIPIJAPA;71083
