Id_Direccion;Dirección;referencia_direc
2;BOLIVAR 12-86 ;
3;AV. ESPAÑA Y AV. HURTADO DE MENDOZA;
4;JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON ;
5;REMIGIO CRESPO 6 87;
6;AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ ;
7;BOLIVAR 6-50 BORRERO;JUNTO A LA IGLESIA DE SAN ALFONSO O DIAGONAL AL DISPENSARIO CENTRAL DEL IESS
8;CALLE A S/N BOULEVAR DEL MAR;HOTEL PUERTO BALLESTA
9;AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO;
10;via principal 1 SIN NOMBRE;''
11;DEL ARUPO 1-05 ALISOS;DETRAS DE LA IGLESIA DEL VERGEL, A UNA CUADRA DE LA ESCUELA CARLOS ZAMBRANO
12;Maquiavelo E6-157 y Av. Siena;PISO: SN. SECTOR: FRENTE AL SCALA SHOPPING
13; BOLIVAR 10-09 Y PADRE AGUIRRE;
14;MARIANO CUEVA 4-91 Y HONORATO VASQUEZ;
15;AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2;
16;ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES;
17;PASACALLE S/N;
18;QUITO S/N SIMÓN BOLIVAR;
19;JUAN MONTALVO 9-78 GRAN COLOMBIA;A MEDIA CUADRA DE LA CLINICA BOLIVAR
20;AV.12 DE ABRIL Y UNIDAD NACIONAL;
21;GENERAL TORRES 8-40 SUCRE;A DOS CUADRAS DE LA IGLESIA EL CENACULO
22;EL BATAN S/N AV 12 DE ABRIL;a tres cuadras de la universidad de cuenca
23;CAMINO A RAYOLOMA;
24;;FRENTE A HOSTAL GOLD
25;BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL;
26;Imbabura N4-54 Y Mideros;A UNA CUADRA DEL C.C. HNO MIGUEL
27;AV DEL ESTADIO Y JOSE PERALTA;
28;TARQUI 9 30 Y BOLIVAR;
29;SANTA ISABEL SECTOR GUABOPAMBA;
30;PADRE AGUIRRE N.- 6-22;
31;GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ;JUNTO AL BANCO DEL PACIFICO
32;AV SUCRE S-N LOS INCAS;ESQUINA
33;GARCIA MORENO 6-50 Y GONZALES SUAREZ;
34;CAÑARIS Y CLODOVEO CENTENO, ESQUINA;
35;EL RAMAL;
36;TRATADO DE GIRON Y ESCUADRON CEDEÑO;
37;JUAN JARAMILLO 8-39 Y BENIGNO MALO;
38;CDLA. LA SAIBA MZ. Q VILLA 26;
39;Av. Alberto Zambrano s/d Calle F; Frente al Terminal Terrestre de Puyo 
40;CALLE LARGA 1-164 Y JESUS DE ARRIEGA;
41;TURI S/N (SECTOR IGUESIA);
42;AV. CIRCUNVALACION SECTOR EL ESTADIO;
43;AV. GENERAL RUMUÑAHUI 255 Y SEXTA Y SEPTIMA TRANSVERSAL;
44;AV. ILALO Y RIO PASTAZA;
45;RÍO Pastaza  S/n y Av. IlalÓ;
46;Av.12 de Octubre  S/N  y Mariscal Foch;DIAGONAL CENTRO COMERCIAL 12 DE OCTUBRE
47;NARANJAL, RECINTO AGUAS CALIENTES S/N;
48;PASEO DE GUADALUPANA, SECTOR BAÑOS;
49;Mariano Cueva 9-42 Bolivar; ingresar por la calle la La Mar 
50;GONZALEZ SUAREZ S/N EMILIANO ZAPATA;CENTRO COMERCIAL MONAY SHOPPING
51;REMIGIO CRESPO S/N DE LA CRUZ;CENTRO COMERCIAL BATAN
52;AV. LOS FUNDADORES Y GARCIA MORENO;
53;BARRIO SUCRE, PARROQUIA BUENAVISTA;
54;IMBABURA N1-22 Y ROCAFUERTE;
55;Imbabura N1-22 y Rocafuerte;A UNA CUADRA DEL PATRONATO SAN JOSE
56;LAS HERRERIAS 2-10 AV 12  DE ABRIL;SECTROR LAS HERRERIAS
57;JUAN VINTIMILLA S/N SIN NOMBRE;DETRAS DEL MERCADO MUNICIPAL
58;AMAZONAS SN 29 DE MAYO;ESQUINA, RINCÓN DEL VAGO
59;GRAN COLOMBIA 12-64 JUAN MONTALVO;''
60;MALL DEL RIO SHOPPIN CENTER;
61;VIA MACAS - PUYO, KM 21;
62;Primero de Mayo s/n Av. Hualtaco; Frente al Mercado Central. 
63;AUTOPISTA YAHUARCOCHA KM 9 CALLE PIÑAN; Junto al Muelle Bar Yahuacocha,&nbsp  
64;CRISTOBAL COLON Y AV. 12 DE OCTUBRE;
65;EL MOLINO 2-04 LOS BALCONES;A UNA CUADRA DE EDIFICIO MONTEVELLO
66;CAMILO DESTUGE 1215 Y GUARANDA;
67;TRONCAL AMAZÓNICA S/N S/N; A 3 MINUTOS DEL PARQUE CENTRAL 
68;;PARQUE CENTRAL
69;VIA PRINCIPAL S/N S/N;A QUINIENTOS METROS DE LA GASOLINERA
70;VIA A CUENCA S/N S/N;A DOSCIENTOS METROS DE LA GASOLINERA
71;PRESIDENTE CORDOVA N°7-23 Y BORRERO;
72;MIGUEL DE CERVANTES S/N VIA A PICHANILLAS;EL PORTON SECTOR LENTAG, A SETESIENTOS METROS DEL PARQUE EXTREMO
73;Av. 6 de Diciembre N21-19 y Jorge Washington;A MEDIA CUADRA DEL BANCO DEL PICHINCHA
74;SANGURIMA 6-49;
75;VIA A CUENCA S/N S/N;A CIEN METROS DE LA COMPLEJO LA ANCONDA
76;Julio SAenz S6-502 Calle F;(VIA ANTIGUA CONOCOTO)
77;PANAMERICANA SUR KM 8.5;
78;LAS AMERICAS KM 1 VIA SANTA MARTHA ;
79;AV DE LAS AMERICAS 6-178;
80;C.C. SAN LUIS SHOPPING - SAN RAFAEL;
81;AV. GENERAL ENRIQUEZ C.C.PLAZA DEL VALLE L.B-14;
82;AV. QUITUMBE ÑAN Y AV. MORAN VALVERDE;
83;C.C.EL RECREO LOCAL 16;
84;13 DE JUNIO S/N JULIAN ALVARADO;FRENTE A LA IGLESIA EVANGELICA
85;AV.12 DE ABRIL Y EL BATAN;
86;Recta Carmen de Bullcay S/N S/N;
87;LUIS MORENO MORA ESQUINA EDUARDO MALO;
88;DAVILA CHICA Y VICENTE PEÑA;
89;EL QUINCHE, RICAURTE JUNTO AL COLEGIO DE LAS CATALINAS;
90;AV. PUEBLO DE LOS QUITUS Y CALLE SIN NOMBRE, CHALLUABAMBA;
91;SANGURIMA Y MANUEL VEGA;
92;AV ORDOÑEZ LAZO KM 5 S/N S/N;SAYAUSI
93;CALLE LARGA 2-38 MANUEL VEGA;FRENTE A LAS RUINAS ARQUEOLOGICAS DE TODOS SANTOS
94;HONORATO VASQUEZ 5-25 MARIANO CUEVA; A CUADRA Y MEDIA DE LA IGLESIA DE LA MERCED, EN LA CALLE HONORATO VASQUEZ 
95;KM 21 VIA A MOLLETURO;
96;LEOPOLDO DAVILA Y AV. DE LAS AMERICAS;
97;SOASTI ENTRE CUENCA Y 5 DE AGOSTO;
98;AV. La República S/N Guayas y 9 de de octubre; Frente a la cooperativa de taxis Turismo Sur. 
99;VIA A GUARUMALES MENDEZ;
100;GUAYANAY 1-26 PACHACAMAC;CIUDADELA ALVAREZ
101;SUCRE 16-62 Y MIGUEL VELEZ;
102;TERMINAL TERRESTRE EL CHORRO Y SEBASTIAN DE BENALCAZAR;
103;JULIA BERNAL 3-18 JAIME ROLDOS; PARROQUIA RICAURTE SECTOR CUATRO ESQUINAS 
104;TARQUI Y AMAZONAS;
105;BENIGNO MALO Y JUAN JARAMILLO;
106;CDLA. LA GARZOTA, MZ. 29, SL. 12;
107;AV. 12 DE DICIEMBRE S/N 5 DE JUNIO;
108;bartolome serrrano  1-17 simon bolivar ;
109;SANTIAGO LAFEBRE 2264 FRANCISCO DE ORELLANA;A UNA CUADRA DEL PARQUE CENTRAL, VIA A MACAS
110;COLON 712 Y LEONIDAS PLAZA;
111;AV. 12 DE ABRIL Y AV. LOJA;
112;AV. DE LAS AMERICAS 13-00 MARISCAL LAMAR;FRENTE AL SUPERMAXI
113;Eduardo Aspiazu (Avda 6ta) S/N Lupercio Bazan (Calle 23);
114;MIGUEL CORDERO 2-124 ALFONSO CORDERO; Miguel Cordero 2-124 y Alfonso Cordero, esquina. Sector el estadio. A una cuadra del Supermaxi del Vergel 
115;BAJA DEL PADRON 4-07 Y CALLE LARGA;
116;AV. DE LAS AMERICAS Y 12 DE ABRIL;
117;AV. DE LAS AMERICAS Y AV. DON BOSCO;
118;Av. Ricardo Durán S-N Alfonso Carrión; A media cuadra de la entrada a la Hostería Durán y a media cuadra del PAI de Baños.&nbsp  
119;MIGUEL HEREDIA 3-07 VEGA MUÑOZ;A UNA CUADRA DEL PARQUE PLAZA DEL ARTE
120;AV. LOJA SN SN; JUNTO A&nbsp  HACIENDA ALIVINATU&nbsp  
121;VEGA MUÑOZ 7-45 LUIS CORDERO; A DOS CUADRAS DE LA IGLESIA DE MARIA AUXILIADORA 
122;MARISCAL FOCH E7-72 y DIEGO DE ALMAGRO;DIAGONAL AL CARAVANA
123;PRESIDENTE CORDOVA 6-45 BORRERO;CENTRO
124;LUCIANO VALLEJO S/N GARCIA MORENO;CENTRO DE GIRON
125;AV. 10 DE AGOSTO Y A. CUEVA;
126;PASAJE SOJOS 1-17 FRANCISCA SOJOS;FRENTE AL PARQUE DE LA CIUDADELA
127;calle cuenca SN Garcia moreno;FRENTE A CNT
128;ESTEVEZ DE TORAL N.- 11-90 Y SANGURIMA;
129;AV. 29 Y CIRCUNVALACION Y AV. FLAVIO REYES;
130;AV. ESPAÑA 17-97;
131;AV ESPANA 502 BARCELONA; AV ESPAÑA JUNTO AL BANCO DEL GUAYAQUIL, DIAGONAL AL TERMINAL TERRESTRE 
132;GRAN COLOMBIA 10-13 PADRE AGUIRRE;FRENTE A LA IGLESIA SANTO DOMINGO
133;PIO JARAMILLO ALVARADO S/N Y DIEGO DE VACA; EN EL CENTRO DE LA CIUDAD A UNA CUADRA DEL COLISEO DE DEPORTES 
134;LAMAR 11-51;
135;VIA AL CAJAS SECTOR DOS CHORRERAS;
136;RICAURTE SECTOR 4 ESQUINAS;
137;SIMÓN BOLÍVAR 11-19 GENERAL TORRES;A MEDIA CUADRA DE LA DIRECCION DE EDUCACION
138;LAMAR 10-26;
139;AV. ORDOÑEZ LASSO S/N JOSE RODRIGUEZ PARRA;SECTOR VIRGEN DEL MILAGRO, FRENTE A UNA LAVADORA DE AUTOS
140;SECTOR SAN MIGUEL SAYAUSI;
141;LUIS CORDERO 7-42 PRESIDENTE CORDOVA; A UNA CUADRA DEL PARQUE CENTRAL 
142;VIA A NULTI A 300M ESCUELA BALAREZO;
143;REMIGIO CRESPO 7-79;
144;PRINCIPAL S/N SUBIENDO AL CERRO ;FRENTE A LA COMUNIDAD DE SAN JOSE
145;SERRANO 3-22 MATOVELLE; DIAGONAL A LA IGLESIA LA CATEDRAL AZOGUES    &nbsp  
146;LUIS MORENO MORA 4-42 Y CORNELIO MERCHAN;
147;AV. FRANCISCO MOSCOSO Y 27 DE FEBRERO;
148;AV REMIGIO CRESPO 4-53 Y RICARDO MUÑOZ;
149;ELIA LIUT Y CALLE VIEJA;
150;BENIGNO MALO 12-75 Y VEGA MUÑOZ;
151;Borrero  12-08 Sangurima; Tres cuadas antes de llegar a la iglesia san alfonso sobre la calle borrero. 
152;BENGNO MALO SN SIMON BOLIVAR; FRENTE AL PARQUE CALDERON EN LA CALLE BENGNO MALO ANTES DE LLEGAR AL TUTTO FREDO DE LA SIMON BOLIVAR ENTRAR AL SEMINARIO SAN LUS Y SUBR AL SEGUNDO PISO 
153;REMIGIO TAMARIZ S/N Y ALFONSO BORRERO;A DOS CUADRAS DE LA UNIVERSIDAD DE CUENCA
154;antonio borrero 7-51 sucre; frente al banco del austro 
155;Digno Nuñez 1 Av. General Enriquez;
156;CARLOS JULIO AROSEMENA Y AV. ORIENTAL;
157;NAPO 76-02 JUAN MONTALVO; Estamos ubicados en el centro de la ciudad del coca, entre la calle Napo 76-02 y Juan Montalvo diagonal al cuerpo de Bomberos y a lado del TIA central. 
158;VIA A RAKAR SECTOR FATIMA;
159;CARLOS ARIZAGA VEGA (SECTOR SAN JOAQUIN);
160;HONORATO,LOYOLA 1-152 Y AGUSTIN CUEVA;
161;av de las americas s/n juan pio montufar; frente a coralcentro 
162;HONORATO VASQUEZ S/N Y BORRERO;
163;AVENIDA RIO AMUNDALO SIN NUMERO POSADA DEL GENERAL ;A DOSCIENTOS METROS DE LA ESCUELA CIUDAD DE AMBATO
164;CALLE CUCUVE 324 CALLE FLOREANA;
165;SANTIAGO CARRASCO 1-10 Y PASAJE;
166;VIA GIRON PASAJE;
167;FELIPE II SN CIRCUNVALACION SUR; MALL DEL RIO PATIO DE COMIDAS 
168;ANTIGUA SUBIDA A TURI Y AV 24 DE MAYO;
169;AV. UNIVERSITARIA 08-24 10 DE AGOSTO Y 18 DE NOVIEMBRE;
170;BENIGNO MALO  6-16;
171;PANAMERICANA SUR  ;
172;ROBERTO CRESPO Y EDUARDO ARIAS;
173;AV. GONZALES SUAREZ 4-18;
174;MARISCAL LAMAR 8-27 BENIGNO MALO;FRENTE A LA CONTRALORIA
175;SUCRE S/N MANUEL VEGA; A UNA CUADRA DEL PARQUE SAN BLAS 
176;AVENIDA 37 S/N CALLE 8; VIA PUNTA CARNERO PASANDO GASOLINERA HERNANDEZ JR. 
177;VÍA PUERTO INCA-CUENCA S/N SECTOR EL TAMARINDO;
178;HERMANO MIGUEL  5-84 JUAN JARAMILLO;A DOS CUADRAS DE SAN BLAS
179;VIA A PAUTE SECTOR EL CABO;
180;TARQUI 9-69 GRAN COLOMBIA;A MEDIA CUADRA DE LA IGLESIA EL CENACULO
181;CALLE UNIDAD NACIONAL S/N Y CALLE A;
182;ADOLFO CORRAL Y TOMAS RODIL;
183;25 DE AGOSTO 15-21;
184;PTE. CORDOVA Y PADRE AGUIRRE;
185;JUAN MONTALVO 8-33 BOLIVAR Y SUCRE;JUNTO A LA CASA DE 1860
186;LATINOAMERICANA  1-50 CUBA; En la Av. Unidad Nacional virar por la calle Cuba, hasta Parque El Angel y dar la vuelta total al parque. 
187;CALLE DOMINGO COMIN Y SOASTI;
188;CALLE SIN NOMBRE Y MIRADOR TURI;
189;SAN MARTIN 1203 Y GUARANDA;
190;SIMON BOLIVAR 13-93 ESTEVEZ DE TORAL;A UNA CUADRA DE LA IGLESIA SAN SEBASTIAN
191;VIA A CUENCA;
192;Manuel Vega  12-57 Sangurima;TRES CUADRAS DEL PARQUE SAM BLAS
193;RAFAEL GALARZA;
194;AV MAX UHLE  2-78 CAMILO EGAS; TRES CUADRAS ANTES DE EMPRESA ELECTRICA 
195;ARIZAGA Y 25 DE JUNIO;
196;VIA A NARIG S/N SUBIDA A TASQUI BAJO;SECTOR TASQUI, FRENTE AL PUENTE COLGANTE
197;SANGURIMA Y MANUEL VEGA;
198;Teniente Hugo Ortiz s/d Juan de Velasco; Frente al parque acuatico morete puyo 
199;BOLIVAR Y MIGUEL HEREDIA;
200;Luis Cordero 5-48 Honorato Vasquez; subir por la calle Honorato Vasquez y virar en la Luis Cordero, el hotel esta a 30 metros de la esquina. 
201;SANGURIMA 8-44;
202;HONORATO VAZQUES 7-72;
203;CALLEJON SUCRE 111 MALECON;
204;RODEO S/N S/N; TUTUPALI 
